output_stem,source,source_image,source_label,split,group_id,object_count
current_current_arch_train_0010,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0010.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0010.txt,train,current_arch_train_0010,5
current_current_arch_train_0011,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0011.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0011.txt,train,current_arch_train_0011,9
current_current_arch_train_0012,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0012.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0012.txt,train,current_arch_train_0012,8
current_current_arch_train_0013,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0013.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0013.txt,train,current_arch_train_0013,9
current_current_arch_train_0014,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0014.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0014.txt,train,current_arch_train_0014,8
current_current_arch_train_0015,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0015.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0015.txt,train,current_arch_train_0015,9
current_current_arch_train_0016,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0016.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0016.txt,train,current_arch_train_0016,6
current_current_arch_train_0017,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0017.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0017.txt,train,current_arch_train_0017,8
current_current_arch_train_0018,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0018.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0018.txt,train,current_arch_train_0018,8
current_current_arch_train_0019,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0019.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0019.txt,train,current_arch_train_0019,6
current_current_arch_train_0020,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0020.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0020.txt,train,current_arch_train_0020,6
current_current_arch_train_0021,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0021.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0021.txt,train,current_arch_train_0021,6
current_current_arch_train_0022,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0022.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0022.txt,train,current_arch_train_0022,8
current_current_arch_train_0023,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0023.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0023.txt,train,current_arch_train_0023,8
current_current_arch_train_0024,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0024.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0024.txt,train,current_arch_train_0024,8
current_current_arch_train_0025,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0025.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0025.txt,train,current_arch_train_0025,8
current_current_arch_train_0026,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0026.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0026.txt,train,current_arch_train_0026,8
current_current_arch_train_0027,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0027.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0027.txt,train,current_arch_train_0027,9
current_current_arch_train_0028,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0028.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0028.txt,train,current_arch_train_0028,8
current_current_arch_train_0029,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0029.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0029.txt,train,current_arch_train_0029,6
current_current_arch_train_0030,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0030.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0030.txt,train,current_arch_train_0030,7
current_current_arch_train_0031,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0031.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0031.txt,train,current_arch_train_0031,9
current_current_arch_train_0032,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0032.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0032.txt,train,current_arch_train_0032,6
current_current_arch_train_0033,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0033.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0033.txt,train,current_arch_train_0033,9
current_current_arch_train_0034,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0034.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0034.txt,train,current_arch_train_0034,5
current_current_arch_train_0035,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0035.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0035.txt,train,current_arch_train_0035,9
current_current_arch_train_0036,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0036.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0036.txt,train,current_arch_train_0036,8
current_current_arch_train_0037,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0037.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0037.txt,train,current_arch_train_0037,9
current_current_arch_train_0038,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0038.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0038.txt,train,current_arch_train_0038,7
current_current_arch_train_0039,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0039.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0039.txt,train,current_arch_train_0039,9
current_current_arch_train_0040,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0040.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0040.txt,train,current_arch_train_0040,8
current_current_arch_train_0041,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0041.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0041.txt,train,current_arch_train_0041,6
current_current_arch_train_0042,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0042.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0042.txt,train,current_arch_train_0042,8
current_current_arch_train_0043,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0043.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0043.txt,train,current_arch_train_0043,6
current_current_arch_train_0044,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0044.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0044.txt,train,current_arch_train_0044,10
current_current_arch_train_0045,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0045.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0045.txt,train,current_arch_train_0045,8
current_current_arch_train_0046,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0046.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0046.txt,train,current_arch_train_0046,6
current_current_arch_train_0047,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0047.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0047.txt,train,current_arch_train_0047,5
current_current_arch_train_0048,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0048.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0048.txt,train,current_arch_train_0048,10
current_current_arch_train_0049,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0049.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0049.txt,train,current_arch_train_0049,8
current_current_arch_train_0050,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0050.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0050.txt,train,current_arch_train_0050,9
current_current_arch_train_0051,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0051.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0051.txt,train,current_arch_train_0051,10
current_current_arch_train_0052,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0052.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0052.txt,train,current_arch_train_0052,5
current_current_arch_train_0053,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0053.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0053.txt,train,current_arch_train_0053,8
current_current_arch_train_0054,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0054.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0054.txt,train,current_arch_train_0054,8
current_current_arch_train_0055,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0055.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0055.txt,train,current_arch_train_0055,6
current_current_arch_train_0056,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0056.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0056.txt,train,current_arch_train_0056,6
current_current_arch_train_0057,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0057.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0057.txt,train,current_arch_train_0057,6
current_current_arch_train_0058,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0058.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0058.txt,train,current_arch_train_0058,10
current_current_arch_train_0059,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0059.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0059.txt,train,current_arch_train_0059,9
current_current_arch_train_0060,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0060.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0060.txt,train,current_arch_train_0060,6
current_current_arch_train_0061,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0061.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0061.txt,train,current_arch_train_0061,6
current_current_arch_train_0062,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0062.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0062.txt,train,current_arch_train_0062,6
current_current_arch_train_0063,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0063.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0063.txt,train,current_arch_train_0063,8
current_current_arch_train_0064,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0064.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0064.txt,train,current_arch_train_0064,6
current_current_arch_train_0065,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0065.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0065.txt,train,current_arch_train_0065,9
current_current_arch_train_0066,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0066.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0066.txt,train,current_arch_train_0066,5
current_current_arch_train_0067,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0067.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0067.txt,train,current_arch_train_0067,9
current_current_arch_train_0068,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0068.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0068.txt,train,current_arch_train_0068,7
current_current_arch_train_0069,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0069.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0069.txt,train,current_arch_train_0069,9
current_current_arch_train_0070,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0070.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0070.txt,train,current_arch_train_0070,10
current_current_arch_train_0071,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0071.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0071.txt,train,current_arch_train_0071,7
current_current_arch_train_0072,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0072.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0072.txt,train,current_arch_train_0072,8
current_current_arch_train_0073,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0073.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0073.txt,train,current_arch_train_0073,8
current_current_arch_train_0074,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0074.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0074.txt,train,current_arch_train_0074,9
current_current_arch_train_0075,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0075.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0075.txt,train,current_arch_train_0075,6
current_current_arch_train_0076,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0076.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0076.txt,train,current_arch_train_0076,10
current_current_arch_train_0077,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0077.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0077.txt,train,current_arch_train_0077,5
current_current_arch_train_0078,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0078.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0078.txt,train,current_arch_train_0078,6
current_current_arch_train_0079,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0079.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0079.txt,train,current_arch_train_0079,6
current_current_arch_train_0080,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0080.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0080.txt,train,current_arch_train_0080,8
current_current_arch_train_0081,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0081.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0081.txt,train,current_arch_train_0081,9
current_current_arch_train_0082,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0082.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0082.txt,train,current_arch_train_0082,7
current_current_arch_train_0083,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0083.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0083.txt,train,current_arch_train_0083,8
current_current_arch_train_0084,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0084.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0084.txt,train,current_arch_train_0084,8
current_current_arch_train_0085,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0085.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0085.txt,train,current_arch_train_0085,9
current_current_arch_train_0086,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0086.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0086.txt,train,current_arch_train_0086,6
current_current_arch_train_0087,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0087.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0087.txt,train,current_arch_train_0087,6
current_current_arch_train_0088,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0088.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0088.txt,train,current_arch_train_0088,10
current_current_arch_train_0089,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0089.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0089.txt,train,current_arch_train_0089,6
current_current_arch_train_0090,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0090.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0090.txt,train,current_arch_train_0090,6
current_current_arch_train_0091,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0091.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0091.txt,train,current_arch_train_0091,9
current_current_arch_train_0092,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0092.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0092.txt,train,current_arch_train_0092,8
current_current_arch_train_0093,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0093.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0093.txt,train,current_arch_train_0093,9
current_current_arch_train_0094,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0094.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0094.txt,train,current_arch_train_0094,10
current_current_arch_train_0095,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0095.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0095.txt,train,current_arch_train_0095,6
current_current_arch_train_0096,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0096.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0096.txt,train,current_arch_train_0096,7
current_current_arch_train_0097,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0097.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0097.txt,train,current_arch_train_0097,8
